ref0,PID1,ADPID2,LQG3,Control
0,-0.006308026,7.04E-05,0.700522616,231
0,-0.0073788,4.69E-05,0.700578739,231
0,-0.008440379,2.35E-05,0.7006348,231
0,-0.009492881,1.84E-07,0.700690632,231
0,-0.010536423,-2.30E-05,0.700746402,231
0,-0.01157112,-4.61E-05,0.700801945,231
0,-0.012597084,-6.91E-05,0.700857426,231
0,-0.013614429,-9.20E-05,0.700912684,231
0,-0.014623263,-0.000114763,0.700967879,231
0,-0.015623696,-0.000137447,0.701022854,231
0,-0.016615834,-0.000160032,0.701077766,231
0,-0.01497721,-0.000131202,0.701132766,231
0,-0.013355271,-0.000102535,0.701187703,231
0,-0.011749795,-7.40E-05,0.701242726,231
0,-0.010160563,-4.57E-05,0.701297686,231
0,-0.008587356,-1.75E-05,0.701352728,231
0,-0.007029963,1.05E-05,0.701407709,231
0,-0.005488172,3.84E-05,0.701462769,231
0,-0.003961777,6.61E-05,0.701517767,231
0,-0.002450571,9.37E-05,0.701572844,231
0,-0.000954354,0.000121126,0.701627858,231
0,-0.000952677,0.000119443,0.701682783,231
0,-0.000951617,0.00011776,0.701737646,231
0,-0.000951164,0.000116077,0.701792419,231
0,-0.000951309,0.000114394,0.701847132,231
0,-0.000952042,0.000112712,0.701901755,231
0,-0.000953353,0.000111029,0.701956317,231
0,-0.000955233,0.000109346,0.702010791,231
0,-0.000957674,0.000107664,0.702065204,231
0,-0.000960665,0.000105982,0.702119529,231
0,-0.000964198,0.0001043,0.702173792,231
0,-4.99E-05,0.000120588,0.702228066,231
0,0.000855192,0.000136785,0.70228228,231
0,0.001751212,0.000152893,0.702336503,231
0,0.002638276,0.000168911,0.702390665,231
0,0.003516504,0.00018484,0.702444836,231
0,0.004386013,0.000200683,0.702498946,231
0,0.005246919,0.000216439,0.702553064,231
0,0.006099336,0.000232109,0.702607121,231
0,0.006943377,0.000247694,0.702661185,231
0,0.007779152,0.000263196,0.702715188,231
0,0.008418493,0.00027493,0.702769177,231
0,0.009051565,0.0002866,0.702823106,231
0,0.00967845,0.000298208,0.70287702,231
