Input,Case1LNoise,Case1HPF(1),Case1Kal(3),Case1HPFKal(13),Case1LPFKal(23),Case1EKF(4),Control
-0.1535447,-0.440343492,0.278779022,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.148181745,-0.43518101,0.2822203,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.14277606,-0.429975509,0.285576661,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.137329203,-0.42472855,0.288847144,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.131842745,-0.419441702,0.29203081,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.126318268,-0.414116548,0.295126746,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.120757366,-0.40875468,0.298134064,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.11516164,-0.403357701,0.301051903,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.109532706,-0.397927226,0.303879424,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.103872186,-0.392464876,0.30661582,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.098181714,-0.386972285,0.309260304,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.092462928,-0.381451092,0.31181212,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.08671748,-0.375902948,0.314270536,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.080947025,-0.370329508,0.31663485,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.075153228,-0.364732436,0.318904383,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.069337759,-0.359113402,0.321078487,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.063502295,-0.353474085,0.323156539,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.05764852,-0.347816165,0.325137946,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.051778121,-0.342141331,0.327022141,0.250358155,0.427039537,9.025897726,-0.338701021,1
-0.04589279,-0.336451276,0.328808585,0.250358155,0.427039537,9.025897726,-0.338701021,1
-0.039994226,-0.330747697,0.330496769,0.250358155,0.427039537,9.025897726,-0.338701021,1
-0.034084128,-0.325032293,0.332086211,0.250358155,0.427039537,9.025897726,-0.338701021,1
