Input,Case4_HGNoise,Case4_HPF(1),Case4_LPF(2),Case4_Kal(3),Case4_HPF_Kal(13),Case4_LPF_Kal(23),Case4_EKF(4),Control
0.349997127,0.399436601,0.326046104,0.003491685,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.349970745,0.385935454,0.177515486,0.010946468,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.349843444,0.373116158,0.075386312,0.017494951,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.34961526,0.34452918,-0.090676309,0.023121576,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.349286259,0.263061014,-0.579346691,0.028180543,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.348856535,0.203508455,-0.900726382,0.032476162,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.348326212,0.28320174,-0.316568543,0.03651201,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.347695444,0.459792157,0.828755277,0.042086901,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.346964412,0.473430689,0.823167241,0.050106257,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.346133328,0.380554211,0.158531181,0.057580258,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.34520243,0.287440009,-0.428391505,0.06318498,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.344171987,0.266546734,-0.505609224,0.067667196,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.343042297,0.327771061,-0.073926809,0.072582775,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.341813685,0.428952002,0.557207651,0.078931058,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.340486505,0.467911272,0.735241183,0.086632081,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.33906114,0.442806105,0.511086654,0.09420678,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.337538002,0.345398791,-0.139500789,0.100865462,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.335917528,0.226079304,-0.876154528,0.10613075,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.334200188,0.263879305,-0.55002796,0.110143927,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.332386475,0.362706015,0.115914825,0.11536796,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.330476913,0.423790594,0.47554398,0.122115546,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.328472053,0.418810313,0.399490127,0.129164292,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.326372473,0.324763765,-0.220614048,0.135484474,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.324178777,0.261456305,-0.579995723,0.140249532,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.321891599,0.272701866,-0.44671163,0.144625182,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.319511599,0.291316431,-0.306897262,0.149891318,0.361104649,0.381411432,-0.045244926,0.505684866,23234
