Sensor_A,Control
-0.10166,10
-0.091934,10
-0.082208,10
-0.072482,10
-0.062756,10
-0.05303,10
-0.0469747,10
-0.0409194,10
-0.0348641,10
-0.0288088,10
-0.0227535,10
-0.0166982,10
-0.0106429,10
-0.0045876,10
0.0014677,10
0.007523,10
0.0196489,10
0.0317748,10
0.0439007,10
0.0560266,10
0.0681525,10
0.0802784,10
0.0924043,10
0.1045302,10
0.1166561,10
0.128782,10
0.118186,10
0.10759,10
0.096994,10
0.086398,10
0.075802,10
0.065206,10
0.05461,10
0.044014,10
0.033418,10
0.022822,10
0.0210345,10
0.019247,10
0.0174595,10
0.015672,10
0.0138845,10
0.012097,10
0.0103095,10
0.008522,10
0.0067345,10
0.004947,10
0.0023543,10
-0.0002384,10
-0.0028311,10
-0.0054238,10
-0.0080165,10
-0.0106092,10
-0.0132019,10
-0.0157946,10
-0.0183873,10
-0.02098,10
-0.0187255,10
-0.016471,10
-0.0142165,10
-0.011962,10
-0.0097075,10
-0.007453,10
-0.0051985,10
-0.002944,10
-0.0006895,10
0.001565,10
0.0102447,10
0.0189244,10
0.0276041,10
0.0362838,10
0.0449635,10
0.0536432,10
0.0623229,10
0.0710026,10
0.0796823,10
0.088362,10
0.122453,10
0.156544,10
0.190635,10
0.224726,10
0.258817,10
0.292908,10
0.326999,10
0.36109,10
0.395181,10
0.429272,10
0.4202057,10
0.4111394,10
0.4020731,10
0.3930068,10
0.3839405,10
0.3748742,10
0.3658079,10
0.3567416,10
0.3476753,10
0.338609,10
0.3306539,10
0.3226988,10
0.3147437,10
0.3067886,10
0.2988335,10
0.2908784,10
0.2829233,10
0.2749682,10
0.2670131,10
0.259058,10
0.2631644,10
0.2672708,10
0.2713772,10
0.2754836,10
0.27959,10
0.2836964,10
0.2878028,10
0.2919092,10
0.2960156,10
0.300122,10
0.2756609,10
0.2511998,10
0.2267387,10
0.2022776,10
0.1778165,10
0.1533554,10
0.1288943,10
0.1044332,10
0.0799721,10
0.055511,10
0.0728544,10
0.0901978,10
0.1075412,10
0.1248846,10
0.142228,10
0.1595714,10
0.1769148,10
0.1942582,10
0.2116016,10
0.228945,10
0.2238885,10
0.218832,10
0.2137755,10
0.208719,10
0.2036625,10
0.198606,10
0.1935495,10
0.188493,10
0.1834365,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.17838,10
0.1909085,10
0.203437,10
0.2159655,10
0.228494,10
0.2410225,10
0.253551,10
0.2660795,10
0.278608,10
0.2911365,10
0.303665,10
0.2759832,10
0.2483014,10
0.2206196,10
0.1929378,10
0.165256,10
0.1375742,10
0.1098924,10
0.0822106,10
0.0545288,10
0.026847,10
0.0396814,10
0.0525158,10
0.0653502,10
0.0781846,10
0.091019,10
0.1038534,10
0.1166878,10
0.1295222,10
0.1423566,10
0.155191,10
0.1497481,10
0.1443052,10
0.1388623,10
0.1334194,10
0.1279765,10
0.1225336,10
0.1170907,10
0.1116478,10
0.1062049,10
0.100762,10
0.0897148,10
0.0786676,10
0.0676204,10
0.0565732,10
0.045526,10
0.0344788,10
0.0234316,10
0.0123844,10
0.0013372,10
-0.00971,10
-0.010386,10
-0.011062,10
-0.011738,10
-0.012414,10
-0.01309,10
-0.013766,10
-0.014442,10
-0.015118,10
-0.015794,10
-0.01647,10
-0.022251,10
-0.028032,10
-0.033813,10
-0.039594,10
-0.045375,10
-0.051156,10
-0.056937,10
-0.062718,10
-0.068499,10
-0.07428,10
-0.070222,10
-0.066164,10
-0.062106,10
-0.058048,10
-0.05399,10
-0.049932,10
-0.045874,10
-0.041816,10
-0.037758,10
-0.0337,10
-0.0294166,10
-0.0251332,10
-0.0208498,10
-0.0165664,10
-0.012283,10
-0.0079996,10
-0.0037162,10
0.0005672,10
0.0048506,10
0.009134,10
0.0062356,10
0.0033372,10
0.0004388,10
-0.0024596,10
-0.005358,10
-0.0082564,10
-0.0111548,10
-0.0140532,10
-0.0169516,10
-0.01985,10
-0.0177568,10
-0.0156636,10
-0.0135704,10
-0.0114772,10
-0.009384,10
-0.0072908,10
-0.0051976,10
-0.0031044,10
-0.0010112,10
0.001082,10
-0.0145382,10
-0.0301584,10
-0.0457786,10
-0.0613988,10
-0.077019,10
-0.0926392,10
-0.1082594,10
-0.1238796,10
-0.1394998,10
-0.15512,10
-0.175764,10
-0.196408,10
-0.217052,10
-0.237696,10
-0.25834,10
-0.278984,10
-0.299628,10
-0.320272,10
-0.340916,10
-0.36156,10
-0.341657,10
-0.321754,10
-0.301851,10
-0.281948,10
-0.262045,10
-0.242142,10
-0.222239,10
-0.202336,10
-0.182433,10
-0.16253,10
-0.15348,10
-0.14443,10
-0.13538,10
-0.12633,10
-0.11728,10
-0.10823,10
-0.09918,10
-0.09013,10
-0.08108,10
-0.07203,10
-0.081692,10
-0.091354,10
-0.101016,10
-0.110678,10
-0.12034,10
-0.130002,10
-0.139664,10
-0.149326,10
-0.158988,10
-0.16865,10
-0.1506301,10
-0.1326102,10
-0.1145903,10
-0.0965704,10
-0.0785505,10
-0.0605306,10
-0.0425107,10
-0.0244908,10
-0.0064709,10
0.011549,10
-0.0255689,10
-0.0626868,10
-0.0998047,10
-0.1369226,10
-0.1740405,10
-0.2111584,10
-0.2482763,10
-0.2853942,10
-0.3225121,10
-0.35963,10
-0.357843,10
-0.356056,10
-0.354269,10
-0.352482,10
-0.350695,10
-0.348908,10
-0.347121,10
-0.345334,10
-0.343547,10
-0.34176,10
-0.338459,10
-0.335158,10
-0.331857,10
-0.328556,10
-0.325255,10
-0.321954,10
-0.318653,10
-0.315352,10
-0.312051,10
-0.30875,10
-0.314643,10
-0.320536,10
-0.326429,10
-0.332322,10
-0.338215,10
-0.344108,10
-0.350001,10
-0.355894,10
-0.361787,10
-0.36768,10
-0.341432,10
-0.315184,10
-0.288936,10
-0.262688,10
-0.23644,10
-0.210192,10
-0.183944,10
-0.157696,10
-0.131448,10
-0.1052,10
-0.117841,10
-0.130482,10
-0.143123,10
-0.155764,10
-0.168405,10
-0.181046,10
-0.193687,10
-0.206328,10
-0.218969,10
-0.23161,10
-0.208856,10
-0.186102,10
-0.163348,10
-0.140594,10
-0.11784,10
-0.095086,10
-0.072332,10
-0.049578,10
-0.026824,10
-0.00407,10
0.0058335,10
0.015737,10
0.0256405,10
0.035544,10
0.0454475,10
0.055351,10
0.0652545,10
0.075158,10
0.0850615,10
0.094965,10
0.0851255,10
0.075286,10
